/opt/conda/lib/python3.11/site-packages/torch/cuda/__init__.py:63: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
arena: 24L x 32E row=13219200B stride=13221888B hidden=2880

 rows   prot           budget  median ms   resurr  per routed    fills
   12      3        quarter#1      1.830      172     16.80%      770
   12      3        quarter#2      1.828      172     16.80%      770
   12      6           half#1      1.825      159     15.53%      707
   12      6           half#2      1.828      159     15.53%      707
   12      9      three-quarter  refused: dev_cache protected=9 must be at most ro
   12      8         rows-k#1      1.361      144     14.06%      624
   12      8         rows-k#2      1.361      144     14.06%      624
   16      4        quarter#1      1.828      172     16.80%      770
   16      4        quarter#2      1.826      172     16.80%      770
   16      8           half#1      1.361      144     14.06%      624
   16      8           half#2      1.364      144     14.06%      624
   16     12  three-quarter#1      1.352      135     13.18%      483
   16     12  three-quarter#2      1.354      135     13.18%      483
   16     12         rows-k#1      1.354      135     13.18%      483
   16     12         rows-k#2      1.351      135     13.18%      483
   24      6        quarter#1      1.832      159     15.53%      707
   24      6        quarter#2      1.830      159     15.53%      707
   24     12           half#1      1.354      135     13.18%      483
   24     12           half#2      1.354      135     13.18%      483
   24     18  three-quarter#1      0.884       99      9.67%      322
   24     18  three-quarter#2      0.882       99      9.67%      322
   24     20         rows-k#1      0.881       87      8.50%      279
   24     20         rows-k#2      0.883       87      8.50%      279
   32      8        quarter#1      1.367      144     14.06%      624
   32      8        quarter#2      1.365      144     14.06%      624
   32     16           half#1      0.895      102      9.96%      374
   32     16           half#2      0.891      102      9.96%      374
   32     24  three-quarter#1      0.402      105     10.25%      145
   32     24  three-quarter#2      0.401      105     10.25%      145
   32     28         rows-k#1      0.383       55      5.37%       58
   32     28         rows-k#2      0.384       55      5.37%       58
   48     12        quarter#1      1.360      135     13.18%      483
   48     12        quarter#2      1.369      135     13.18%      483
   48     24           half#1      0.446      105     10.25%      145
   48     24           half#2      0.394      105     10.25%      145
   48     36  three-quarter#1      0.376        0      0.00%        0
   48     36  three-quarter#2      0.376        0      0.00%        0
   48     44         rows-k#1      0.373        0      0.00%        0
   48     44         rows-k#2      0.375        0      0.00%        0

receipt -> /root/r2_wall.json
