/opt/conda/lib/python3.11/site-packages/torch/cuda/__init__.py:63: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
arena: 24L x 32E row=13219200B stride=13221888B hidden=2880

 rows   prot           budget  median ms   resurr  per routed    fills
   12      3        quarter#1      1.821      161     15.72%      730
   12      3        quarter#2      1.822      161     15.72%      730
   12      6           half#1      1.819      149     14.55%      672
   12      6           half#2      1.819      149     14.55%      672
   12      9      three-quarter  refused: dev_cache protected=9 must be at most ro
   12      8         rows-k#1      1.356      133     12.99%      597
   12      8         rows-k#2      1.354      133     12.99%      597
   16      4        quarter#1      1.825      161     15.72%      730
   16      4        quarter#2      1.820      161     15.72%      730
   16      8           half#1      1.352      133     12.99%      597
   16      8           half#2      1.358      133     12.99%      597
   16     12  three-quarter#1      1.345      128     12.50%      466
   16     12  three-quarter#2      1.344      128     12.50%      466
   16     12         rows-k#1      1.343      128     12.50%      466
   16     12         rows-k#2      1.342      128     12.50%      466
   24      6        quarter#1      1.824      149     14.55%      672
   24      6        quarter#2      1.817      149     14.55%      672
   24     12           half#1      1.348      128     12.50%      466
   24     12           half#2      1.347      128     12.50%      466
   24     18  three-quarter#1      0.875       98      9.57%      314
   24     18  three-quarter#2      0.874       98      9.57%      314
   24     20         rows-k#1      0.872       86      8.40%      274
   24     20         rows-k#2      0.871       86      8.40%      274
   32      8        quarter#1      1.356      133     12.99%      597
   32      8        quarter#2      1.363      133     12.99%      597
   32     16           half#1      0.883      102      9.96%      363
   32     16           half#2      0.882      102      9.96%      363
   32     24  three-quarter#1      0.391      105     10.25%      144
   32     24  three-quarter#2      0.391      105     10.25%      144
   32     28         rows-k#1      0.376       55      5.37%       61
   32     28         rows-k#2      0.376       55      5.37%       61
   48     12        quarter#1      1.350      128     12.50%      466
   48     12        quarter#2      1.351      128     12.50%      466
   48     24           half#1      0.388      105     10.25%      144
   48     24           half#2      0.416      105     10.25%      144
   48     36  three-quarter#1      0.396        0      0.00%        5
   48     36  three-quarter#2      0.374        0      0.00%        5
   48     44         rows-k#1      0.379        0      0.00%        5
   48     44         rows-k#2      0.376        0      0.00%        5

receipt -> /root/r2_wall_v2.json
