arena: 24L x 32E row=13219200B stride=13221888B hidden=2880
steps: synthetic=256 captured=256 (layer 0 of gptoss_prose.jsonl)
step-to-step overlap: synthetic 12.9%  captured 28.3%  (chance 12.5%)

seq         rows   prot   rep   median ms    resurr  per routed     fills
synthetic     12      3     1       1.268       161      15.72%       730
captured      12      3     1       1.259       156      15.23%       577
synthetic     12      3     2       1.264       161      15.72%       730
captured      12      3     2       1.259       156      15.23%       577
synthetic     12      3     3       1.261       161      15.72%       730
captured      12      3     3       1.259       156      15.23%       577
synthetic     12      3     4       1.259       161      15.72%       730
captured      12      3     4       1.255       156      15.23%       577
synthetic     12      3     5       1.261       161      15.72%       730
captured      12      3     5       1.259       156      15.23%       577
synthetic     12      8     1       1.029       135      13.18%       597
captured      12      8     1       1.013       154      15.04%       426
synthetic     12      8     2       1.018       135      13.18%       597
captured      12      8     2       1.011       154      15.04%       426
synthetic     12      8     3       1.019       135      13.18%       597
captured      12      8     3       1.010       154      15.04%       426
synthetic     12      8     4       1.019       135      13.18%       597
captured      12      8     4       1.011       154      15.04%       426
synthetic     12      8     5       1.020       135      13.18%       597
captured      12      8     5       1.009       154      15.04%       426
synthetic     16      4     1       1.263       161      15.72%       730
captured      16      4     1       1.259       156      15.23%       577
synthetic     16      4     2       1.259       161      15.72%       730
captured      16      4     2       1.260       156      15.23%       577
synthetic     16      4     3       1.263       161      15.72%       730
captured      16      4     3       1.254       156      15.23%       577
synthetic     16      4     4       1.262       161      15.72%       730
captured      16      4     4       1.257       156      15.23%       577
synthetic     16      4     5       1.260       161      15.72%       730
captured      16      4     5       1.260       156      15.23%       577
synthetic     16     12     1       1.012       130      12.70%       469
captured      16     12     1       0.762       151      14.75%       286
synthetic     16     12     2       1.012       130      12.70%       469
captured      16     12     2       0.762       151      14.75%       286
synthetic     16     12     3       1.012       130      12.70%       469
captured      16     12     3       0.764       151      14.75%       286
synthetic     16     12     4       1.008       130      12.70%       469
captured      16     12     4       0.758       151      14.75%       286
synthetic     16     12     5       1.009       130      12.70%       469
captured      16     12     5       0.764       151      14.75%       286
synthetic     24      6     1       1.260       148      14.45%       666
captured      24      6     1       1.021       163      15.92%       498
synthetic     24      6     2       1.263       148      14.45%       666
captured      24      6     2       1.022       163      15.92%       498
synthetic     24      6     3       1.261       148      14.45%       666
captured      24      6     3       1.018       163      15.92%       498
synthetic     24      6     4       1.261       148      14.45%       666
captured      24      6     4       1.024       163      15.92%       498
synthetic     24      6     5       1.261       148      14.45%       666
captured      24      6     5       1.019       163      15.92%       498
synthetic     24     20     1       0.761        97       9.47%       258
captured      24     20     1       0.481        74       7.23%        91
synthetic     24     20     2       0.760        97       9.47%       258
captured      24     20     2       0.483        74       7.23%        91
synthetic     24     20     3       0.759        97       9.47%       258
captured      24     20     3       0.478        74       7.23%        91
synthetic     24     20     4       0.758        97       9.47%       258
captured      24     20     4       0.481        74       7.23%        91
synthetic     24     20     5       0.760        97       9.47%       258
captured      24     20     5       0.479        74       7.23%        91
synthetic     32      8     1       1.031       135      13.18%       597
captured      32      8     1       1.015       154      15.04%       426
synthetic     32      8     2       1.023       135      13.18%       597
captured      32      8     2       1.015       154      15.04%       426
synthetic     32      8     3       1.025       135      13.18%       597
captured      32      8     3       1.014       154      15.04%       426
synthetic     32      8     4       1.025       135      13.18%       597
captured      32      8     4       1.016       154      15.04%       426
synthetic     32      8     5       1.017       135      13.18%       597
captured      32      8     5       1.016       154      15.04%       426
synthetic     32     28     1       0.477        45       4.39%        72
captured      32     28     1       0.468        13       1.27%        20
synthetic     32     28     2       0.477        45       4.39%        72
captured      32     28     2       0.471        13       1.27%        20
synthetic     32     28     3       0.478        45       4.39%        72
captured      32     28     3       0.472        13       1.27%        20
synthetic     32     28     4       0.480        45       4.39%        72
captured      32     28     4       0.471        13       1.27%        20
synthetic     32     28     5       0.479        45       4.39%        72
captured      32     28     5       0.471        13       1.27%        20
synthetic     48     12     1       1.018       130      12.70%       469
captured      48     12     1       0.762       151      14.75%       286
synthetic     48     12     2       1.019       130      12.70%       469
captured      48     12     2       0.768       151      14.75%       286
synthetic     48     12     3       1.016       130      12.70%       469
captured      48     12     3       0.764       151      14.75%       286
synthetic     48     12     4       1.017       130      12.70%       469
captured      48     12     4       0.765       151      14.75%       286
synthetic     48     12     5       1.016       130      12.70%       469
captured      48     12     5       0.777       151      14.75%       286
synthetic     48     44     1       0.468         0       0.00%         5
captured      48     44     1       0.468         0       0.00%         9
synthetic     48     44     2       0.471         0       0.00%         5
captured      48     44     2       0.471         0       0.00%         9
synthetic     48     44     3       0.470         0       0.00%         5
captured      48     44     3       0.471         0       0.00%         9
synthetic     48     44     4       0.470         0       0.00%         5
captured      48     44     4       0.472         0       0.00%         9
synthetic     48     44     5       0.471         0       0.00%         5
captured      48     44     5       0.471         0       0.00%         9

receipt -> /root/traces/wall_prose.json (100 arms)
