H2b gate first:
  H2b: CONFIRMED

reference: 2.732 ms

 rows  warps       ms     GB/s
    1      1    0.321     67.0
    1      2    0.322     66.8
    1      4    0.333     64.5
    1      8    0.527     40.8
    2      1    0.206    104.2
    2      2    0.189    113.9
    2      4    0.203    106.0
    2      8    0.329     65.4
    4      1    0.192    112.2
    4      2    0.217     99.0
    4      4    0.179    120.1
    4      8    0.198    108.5
    8      1    0.172    124.8
    8      2    0.177    121.8
    8      4    0.172    125.1
    8      8    0.205    104.9
   16      1    0.241     89.3
   16      2    0.187    114.7
   16      4    0.200    107.3
   16      8    0.199    108.0
   32      1    0.195    110.0
   32      2    0.272     79.2
   32      4    0.261     82.4
   32      8    0.257     83.6
   64      1    0.241     89.2
   64      2    0.169    127.4
   64      4    0.266     80.9
   64      8    0.249     86.2

BEST: 127.4 GB/s at rows=64 warps=2 (0.169 ms)
H2a >=150 GB/s: outside interval
