H2b gate first:
  H2b: CONFIRMED

reference: 2.785 ms

 rows  warps       ms     GB/s
    1      1    0.294     73.2
    1      2    0.359     59.9
    1      4    0.381     56.4
    1      8    0.523     41.1
    2      1    0.191    112.8
    2      2    0.192    111.8
    2      4    0.233     92.4
    2      8    0.325     66.2
    4      1    0.214    100.6
    4      2    0.192    112.2
    4      4    0.241     89.0
    4      8    0.217     99.0
    8      1    0.203    106.0
    8      2    0.183    117.3
    8      4    0.183    117.3
    8      8    0.184    116.9
   16      1    0.194    110.6
   16      2    0.264     81.3
   16      4    0.192    111.9
   16      8    0.196    109.8
   32      1    0.186    115.7
   32      2    0.702     30.6
   32      4    0.941     22.8
   32      8    0.250     86.1
   64      1    0.267     80.5
   64      2    0.204    105.6
   64      4    0.266     80.9
   64      8    0.258     83.4

BEST: 117.3 GB/s at rows=8 warps=4 (0.183 ms)
H2a >=150 GB/s: FALSIFIED
