"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","17","python3.11","127.0.0.1","_v0_shipped","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","6.28"
"0","17","python3.11","127.0.0.1","_v0_shipped","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","12.08"
"0","17","python3.11","127.0.0.1","_v0_shipped","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","4817664"
"0","17","python3.11","127.0.0.1","_v0_shipped","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","58209788"
"0","17","python3.11","127.0.0.1","_v0_shipped","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","15.85"
"0","17","python3.11","127.0.0.1","_v0_shipped","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","smsp__average_warp_latency_issue_stalled_long_scoreboard_per_warp_active.ratio","","n/a"
"1","17","python3.11","127.0.0.1","_v1_h4","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","29.42"
"1","17","python3.11","127.0.0.1","_v1_h4","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector","1.95"
"1","17","python3.11","127.0.0.1","_v1_h4","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","6439680"
"1","17","python3.11","127.0.0.1","_v1_h4","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","12567002"
"1","17","python3.11","127.0.0.1","_v1_h4","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","66.84"
"1","17","python3.11","127.0.0.1","_v1_h4","1","7","(64, 1, 1)","(8, 48, 1)","0","8.6","Command line profiler metrics","smsp__average_warp_latency_issue_stalled_long_scoreboard_per_warp_active.ratio","","n/a"
