profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      19.631ms        38.36%      19.631ms      25.561us           768  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      13.403ms        26.19%      13.403ms      17.272us           776  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       4.075ms         7.96%       4.075ms      10.612us           384  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.351ms         2.64%       1.351ms       3.519us           384  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       1.296ms         2.53%       1.296ms       1.688us           768  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.150ms         2.25%       1.150ms       1.467us           784  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.073ms         2.10%       1.073ms       2.793us           384  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.032ms         2.02%       1.032ms       1.344us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     976.701us         1.91%     976.701us       2.492us           392  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     850.744us         1.66%     850.744us       2.215us           384  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     797.997us         1.56%     797.997us       2.078us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     688.610us         1.35%     688.610us       1.793us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     633.449us         1.24%     633.449us       1.650us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     623.764us         1.22%     623.764us       0.812us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     462.424us         0.90%     462.424us       1.204us           384  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     446.852us         0.87%     446.852us       1.140us           392  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     382.869us         0.75%     382.869us       0.997us           384  
