profiled replay steps: 8 (active window: 8/8)
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       _gemv_nf4_dotpad         0.00%       0.000us         0.00%       0.000us       0.000us      19.617ms        35.52%      19.617ms      25.543us           768  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      13.319ms        24.12%      13.319ms      17.164us           776  
                                _fp8_paged_decode_split         0.00%       0.000us         0.00%       0.000us       0.000us       4.070ms         7.37%       4.070ms      10.598us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.226ms         4.03%       2.226ms       1.434us          1552  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.349ms         2.44%       1.349ms       3.513us           384  
void at::native::bitonicSortKVInPlace<-2, -1, 16, 16...         0.00%       0.000us         0.00%       0.000us       0.000us       1.073ms         1.94%       1.073ms       2.794us           384  
                                    _fp8_append_t1_side         0.00%       0.000us         0.00%       0.000us       0.000us       1.034ms         1.87%       1.034ms       1.346us           768  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     969.920us         1.76%     969.920us       2.474us           392  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     864.388us         1.57%     864.388us       2.251us           384  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     863.456us         1.56%     863.456us       0.734us          1176  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     860.395us         1.56%     860.395us       1.109us           776  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     803.435us         1.45%     803.435us       2.092us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     682.468us         1.24%     682.468us       1.777us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     632.379us         1.15%     632.379us       1.647us           384  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us     621.433us         1.13%     621.433us       1.618us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     615.779us         1.12%     615.779us       0.802us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     580.502us         1.05%     580.502us       0.756us           768  
